Month,Date,Account,Subcategory,Category,Amount,Credit,Debit,Is Income,Is Expense
2025-01,2025-01-06,NFCU Cash Rewards Visa,Entertainment (Attractions),Entertainment (Travel/Attractions/Dining),-54.00,,54.00,False,True
2025-01,2025-01-06,NFCU Cash Rewards Visa,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-30.00,,30.00,False,True
2025-01,2025-01-07,BofA Checking,Transfer between accounts,Transfers (Internal),-54.00,,54.00,False,False
2025-01,2025-01-07,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),54.00,54.00,,False,False
2025-01,2025-01-08,NFCU Cash Rewards Visa,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-40.63,,40.63,False,True
2025-01,2025-01-08,NFCU Cash Rewards Visa,Personal (Nicotine),Personal/Lifestyle (Discretionary),-69.93,,69.93,False,True
2025-01,2025-01-09,NFCU Cash Rewards Visa,Utilities (Cell Phone),Utilities,-90.00,,90.00,False,True
2025-01,2025-01-09,BofA Checking,Transfer between accounts,Transfers (Internal),-124.75,,124.75,False,False
2025-01,2025-01-09,BofA Checking,Transfer between accounts,Transfers (Internal),-90.00,,90.00,False,False
2025-01,2025-01-09,BofA Checking,Transfer between accounts,Transfers (Internal),-18.16,,18.16,False,False
2025-01,2025-01-09,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),232.91,232.91,0.00,False,False
2025-01,2025-01-09,NFCU Checking,Transfer between accounts,Transfers (Internal),-160.00,,160.00,False,False
2025-01,2025-01-09,PenFed Gold Signature Visa,Credit Card Payments,Transfers (Internal),160.00,160.00,,False,False
2025-01,2025-01-12,PenFed Gold Signature Visa,Finance Charges (Credit Cards),Finance Charges,-112.54,,112.54,False,False
2025-01,2025-01-13,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-01,2025-01-13,NFCU Cash Rewards Visa,Utilities (Streaming Services),Utilities,-16.57,,16.57,False,True
2025-01,2025-01-13,NFCU Checking,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",14.40,14.40,0.00,True,False
2025-01,2025-01-13,NFCU Checking,Transfer between accounts,Transfers (Internal),-14.40,,14.40,False,False
2025-01,2025-01-13,NFCU Savings,Transfer between accounts,Transfers (Internal),14.40,14.40,,False,False
2025-01,2025-01-13,Capital One QS Mastercard,Loan Payments (Vehicle),Transportation Expenses,-513.00,,513.00,False,True
2025-01,2025-01-13,Regional Acceptance Auto,Transfer between accounts,Transfers (Internal),513.00,513.00,,False,False
2025-01,2025-01-14,BofA Checking,Transfer between accounts,Transfers (Internal),-16.57,,16.57,False,False
2025-01,2025-01-14,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),16.57,16.57,,False,False
2025-01,2025-01-14,NFCU Cash Rewards Visa,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-18.96,,18.96,False,True
2025-01,2025-01-15,NFCU Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",2134.30,2134.30,,True,False
2025-01,2025-01-15,NFCU Checking,Loan Payments (Vehicle),Transportation Expenses,-214.00,,214.00,False,True
2025-01,2025-01-15,BofA Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",237.14,237.14,,True,False
2025-01,2025-01-15,BofA Checking,Insurance (Auto),Insurance (Auto/Home/Umbrella/Misc),-184.67,,184.67,False,True
2025-01,2025-01-15,BofA Checking,Insurance (Home),Insurance (Auto/Home/Umbrella/Misc),-91.75,,91.75,False,True
2025-01,2025-01-15,BofA Checking,Insurance (Umbrella),Insurance (Auto/Home/Umbrella/Misc),-9.67,,9.67,False,True
2025-01,2025-01-15,BofA Checking,Utilities (Sewage),Utilities,-260.94,,260.94,False,True
2025-01,2025-01-15,NFCU Checking,Transfer between accounts,Transfers (Internal),208.33,208.33,,False,False
2025-01,2025-01-15,FSA Dependent,Transfer between accounts,Transfers (Internal),-208.33,,208.33,False,False
2025-01,2025-01-15,FSA Dependent,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",208.33,208.33,,True,False
2025-01,2025-01-15,Macy's Store Card,Housing (Home Goods),Housing (Repairs/Mortgage/Taxes),-222.60,,222.60,False,True
2025-01,2025-01-16,Capital One QS Mastercard,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",7.70,7.70,,True,False
2025-01,2025-01-16,Capital One QS Mastercard,Credit Card Payments,Transfers (Internal),505.30,505.30,0.00,False,False
2025-01,2025-01-16,NFCU Checking,Transfer between accounts,Transfers (Internal),-505.30,,505.30,False,False
2025-01,2025-01-17,BofA Checking,Salary - UPMC,"Income (Salary, Interest Earned/Tax Refunds)",250.00,250.00,,True,False
2025-01,2025-01-17,NFCU Cash Rewards Visa,Housing (Home Maintenance/Repair),Housing (Repairs/Mortgage/Taxes),-18.42,,18.42,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Healthcare (Medication),Medical/Healthcare,-60.00,,60.00,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-13.92,,13.92,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Personal (Haircuts),Personal/Lifestyle (Discretionary),-26.00,,26.00,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-61.39,,61.39,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Housing (Home Goods),Housing (Repairs/Mortgage/Taxes),243.75,243.75,,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-8.33,,8.33,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Entertainment (Attractions),Entertainment (Travel/Attractions/Dining),-6.00,,6.00,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Transportation (Fuel),Transportation Expenses,-31.00,,31.00,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Personal (Nicotine),Personal/Lifestyle (Discretionary),-59.34,,59.34,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Entertainment (Attractions),Entertainment (Travel/Attractions/Dining),-35.12,,35.12,False,True
2025-01,2025-01-20,NFCU Cash Rewards Visa,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-10.90,,10.90,False,True
2025-01,2025-01-21,NFCU Checking,Transfer between accounts,Transfers (Internal),-2000.00,,2000.00,False,False
2025-01,2025-01-21,PenFed Visa Signature,Credit Card Payments,Transfers (Internal),2000.00,2000.00,,False,False
2025-01,2025-01-21,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-01,2025-01-22,NFCU Checking,Transfer between accounts,Transfers (Internal),-7.70,,7.70,False,False
2025-01,2025-01-22,NFCU Savings,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",7.70,7.70,,True,False
2025-01,2025-01-24,NFCU Checking,Daycare,Daycare,-130.00,,130.00,False,True
2025-01,2025-01-24,NFCU AMEX,Healthcare (Medication),Medical/Healthcare,-27.02,,27.02,False,True
2025-01,2025-01-24,NFCU AMEX,Utilities (Electricity),Utilities,-92.59,,92.59,False,True
2025-01,2025-01-25,NFCU Cash Rewards Visa,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-21.11,,21.11,False,True
2025-01,2025-01-26,FSA Dependent,Transfer between accounts,Transfers (Internal),-100.00,,100.00,False,False
2025-01,2025-01-27,BofA Checking,Utilities (Internet),Utilities,-69.61,,69.61,False,True
2025-01,2025-01-27,NFCU AMEX,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-39.55,,39.55,False,True
2025-01,2025-01-28,BofA Checking,Transfer between accounts,Transfers (Internal),-92.59,,92.59,False,False
2025-01,2025-01-28,NFCU AMEX,Credit Card Payments,Transfers (Internal),92.59,92.59,,False,False
2025-01,2025-01-28,NFCU AMEX,Healthcare (Psychiatry),Medical/Healthcare,-25.00,,25.00,False,True
2025-01,2025-01-28,NFCU AMEX,Healthcare (Medication),Medical/Healthcare,-38.38,,38.38,False,True
2025-01,2025-01-29,PenFed Visa Signature,Finance Charges (Credit Cards),Finance Charges,-68.19,,68.19,False,False
2025-01,2025-01-29,PenFed Visa Signature,Transfer between accounts,Transfers (Internal),2952.42,2952.42,,False,False
2025-01,2025-01-29,PenFed Gold Signature Visa,Transfer between accounts,Transfers (Internal),7580.00,7580.00,,False,False
2025-01,2025-01-29,NFCU AMEX,Transfer between accounts,Transfers (Internal),-2952.42,,2952.42,False,False
2025-01,2025-01-29,NFCU AMEX,Transfer between accounts,Transfers (Internal),-7580.00,,7580.00,False,False
2025-01,2025-01-29,Macy's Store Card,Transfer between accounts,Transfers (Internal),222.60,222.60,,False,False
2025-01,2025-01-29,NFCU AMEX,Transfer between accounts,Transfers (Internal),-222.60,,222.60,False,False
2025-01,2025-01-29,NFCU Checking,Transfer between accounts,Transfers (Internal),100.00,100.00,,False,False
2025-01,2025-01-29,NFCU AMEX,Healthcare (Therapy),Medical/Healthcare,-25.00,,25.00,False,True
2025-01,2025-01-29,NFCU Cash Rewards Visa,Utilities (Streaming Services),Utilities,-21.39,,21.39,False,True
2025-01,2025-01-29,BofA Checking,Transfer between accounts,Transfers (Internal),-21.39,,21.39,False,False
2025-01,2025-01-30,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),21.39,21.39,,False,False
2025-01,2025-01-31,NFCU Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",2103.43,2103.43,,True,False
2025-01,2025-01-31,BofA Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",233.72,233.72,,True,False
2025-01,2025-01-31,FSA Dependent,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",208.33,208.33,,True,False
2025-01,2025-01-31,BofA Checking,Salary - UPMC,"Income (Salary, Interest Earned/Tax Refunds)",250.00,250.00,,True,False
2025-01,2025-01-31,NFCU Cash Rewards Visa,Personal (Subscriptions),Personal/Lifestyle (Discretionary),-21.20,,21.20,False,True
2025-01,2025-01-31,NFCU Checking,Loan Payments (Mortgage Payments),Housing (Repairs/Mortgage/Taxes),-550.00,,550.00,False,True
2025-01,2025-01-31,NFCU Checking,Personal (Subscriptions),Personal/Lifestyle (Discretionary),-5.34,,5.34,False,True
2025-01,2025-01-31,NFCU Checking,Transfer between accounts,Transfers (Internal),-324.00,,324.00,False,False
2025-01,2025-01-31,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),324.00,324.00,,False,False
2025-01,2025-01-31,NFCU AMEX,Transportation (Fuel),Transportation Expenses,-20.00,,20.00,False,True
2025-01,2025-01-31,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-60.83,,60.83,False,True
2025-01,2025-01-31,NFCU Checking,Transfer between accounts,Transfers (Internal),-210.78,,210.78,False,False
2025-01,2025-01-31,NFCU AMEX,Credit Card Payments,Transfers (Internal),210.78,210.78,,False,False
2025-01,2025-01-31,NFCU Cash Rewards Visa,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-10.90,,10.90,False,True
2025-01,2025-01-31,NFCU Checking,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",0.02,0.02,,True,False
2025-01,2025-01-31,NFCU Savings,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",1.65,1.65,,True,False
2025-01,2025-01-31,Lending Club Savings,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",21.54,21.54,,True,False
2025-02,2025-02-03,NFCU AMEX,Transportation (Satellite Radio),Transportation Expenses,-18.16,,18.16,False,True
2025-02,2025-02-03,BofA Checking,Transfer between accounts,Transfers (Internal),-18.16,,18.16,False,False
2025-02,2025-02-03,NFCU AMEX,Credit Card Payments,Transfers (Internal),18.16,18.16,,False,False
2025-02,2025-02-03,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-02,2025-02-03,NFCU AMEX,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-47.32,,47.32,False,True
2025-02,2025-02-04,NFCU Checking,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",3.94,3.94,,True,False
2025-02,2025-02-04,NFCU Checking,Transfer between accounts,Transfers (Internal),-3.94,,3.94,False,False
2025-02,2025-02-04,NFCU Savings,Transfer between accounts,Transfers (Internal),3.94,3.94,,False,False
2025-02,2025-02-05,NFCU AMEX,Utilities (Natural Gas),Utilities,-174.86,,174.86,False,True
2025-02,2025-02-05,NFCU AMEX,Healthcare (Medication),Medical/Healthcare,-39.01,,39.01,False,True
2025-02,2025-02-05,NFCU AMEX,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-13.78,,13.78,False,True
2025-02,2025-02-06,BofA Checking,Transfer between accounts,Transfers (Internal),-174.86,,174.86,False,False
2025-02,2025-02-06,NFCU AMEX,Credit Card Payments,Transfers (Internal),174.86,174.86,,False,False
2025-02,2025-02-06,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-60.83,,60.83,False,True
2025-02,2025-02-06,NFCU Checking,Transfer between accounts,Transfers (Internal),212.02,212.02,,False,False
2025-02,2025-02-06,FSA Dependent,Transfer between accounts,Transfers (Internal),-100.00,,100.00,False,False
2025-02,2025-02-06,FSA Health,Transfer between accounts,Transfers (Internal),-214.41,,214.41,False,False
2025-02,2025-02-06,Dasher Direct,Transfer between accounts,Transfers (Internal),-93.12,,93.12,False,False
2025-02,2025-02-06,NFCU Checking,Transfer between accounts,Transfers (Internal),93.12,93.12,,False,False
2025-02,2025-02-07,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-02,2025-02-07,NFCU AMEX,Housing (Home Maintenance/Repair),Housing (Repairs/Mortgage/Taxes),-43.31,,43.31,False,True
2025-02,2025-02-07,NFCU AMEX,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-37.29,,37.29,False,True
2025-02,2025-02-09,NFCU AMEX,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-52.50,,52.50,False,True
2025-02,2025-02-09,NFCU AMEX,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),11.96,11.96,0.00,False,True
2025-02,2025-02-09,NFCU AMEX,Entertainment (Attractions),Entertainment (Travel/Attractions/Dining),-54.00,,54.00,False,True
2025-02,2025-02-10,NFCU Cash Rewards Visa,Utilities (Cell Phone),Utilities,-90.00,,90.00,False,True
2025-02,2025-02-11,BofA Checking,Transfer between accounts,Transfers (Internal),-90.00,,90.00,False,False
2025-02,2025-02-11,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),90.00,90.00,,False,False
2025-02,2025-02-11,BofA Checking,Transfer between accounts,Transfers (Internal),-54.00,,54.00,False,False
2025-02,2025-02-11,NFCU AMEX,Credit Card Payments,Transfers (Internal),54.00,54.00,,False,False
2025-02,2025-02-11,FSA Dependent,Transfer between accounts,Transfers (Internal),-216.66,,216.66,False,False
2025-02,2025-02-11,NFCU Checking,Transfer between accounts,Transfers (Internal),280.04,280.04,,False,False
2025-02,2025-02-11,Capital One QS Mastercard,Loan Payments (Vehicle),Transportation Expenses,-513.00,,513.00,False,True
2025-02,2025-02-11,NFCU Checking,Transfer between accounts,Transfers (Internal),-505.30,,505.30,False,False
2025-02,2025-02-11,NFCU Checking,Transfer between accounts,Transfers (Internal),-7.70,,7.70,False,False
2025-02,2025-02-11,NFCU Savings,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",7.70,7.70,,True,False
2025-02,2025-02-11,NFCU Checking,Transfer between accounts,Transfers (Internal),-1500.00,,1500.00,False,False
2025-02,2025-02-11,NFCU AMEX,Credit Card Payments,Transfers (Internal),1500.00,1500.00,,False,False
2025-02,2025-02-12,NFCU Checking,Taxes (Local - Refund),Tax Refund,50.00,50.00,,False,False
2025-02,2025-02-12,NFCU AMEX,Healthcare (Psychiatry),Medical/Healthcare,-25.00,,25.00,False,True
2025-02,2025-02-12,NFCU AMEX,Utilities (Streaming Services),Utilities,-16.57,,16.57,False,True
2025-02,2025-02-12,PenFed Gold Signature Visa,Finance Charges (Credit Cards),Finance Charges,-64.99,,64.99,False,False
2025-02,2025-02-13,BofA Checking,Transfer between accounts,Transfers (Internal),-16.57,,16.57,False,False
2025-02,2025-02-13,NFCU AMEX,Credit Card Payments,Transfers (Internal),16.57,16.57,,False,False
2025-02,2025-02-14,Capital One QS Mastercard,Credit Card Payments,Transfers (Internal),505.30,505.30,,False,False
2025-02,2025-02-14,BofA Checking,Salary - UPMC,"Income (Salary, Interest Earned/Tax Refunds)",250.00,250.00,,True,False
2025-02,2025-02-14,BofA Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",237.15,237.15,,True,False
2025-02,2025-02-14,NFCU Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",2134.30,2134.30,,True,False
2025-02,2025-02-14,FSA Dependent,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",208.33,208.33,,True,False
2025-02,2025-02-14,NFCU Checking,Loan Payments (Vehicle),Transportation Expenses,-214.00,,214.00,False,True
2025-02,2025-02-14,NFCU Checking,Gifts (Valentine's Day),Gifts (Discretionary),-36.00,,36.00,False,True
2025-02,2025-02-14,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-60.83,,60.83,False,True
2025-02,2025-02-14,NFCU AMEX,Transportation (Fuel),Transportation Expenses,-25.01,,25.01,False,True
2025-02,2025-02-14,NFCU AMEX,Gifts (Valentine's Day),Gifts (Discretionary),-28.10,,28.10,False,True
2025-02,2025-02-14,NFCU AMEX,Gifts (Valentine's Day),Gifts (Discretionary),-7.00,,7.00,False,True
2025-02,2025-02-14,NFCU AMEX,Gifts (Valentine's Day),Gifts (Discretionary),-52.32,,52.32,False,True
2025-02,2025-02-14,NFCU AMEX,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-13.60,,13.60,False,True
2025-02,2025-02-15,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-02,2025-02-15,Capital One QS Mastercard,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",7.70,7.70,,True,False
2025-02,2025-02-16,NFCU AMEX,Healthcare (Medication),Medical/Healthcare,-72.98,,72.98,False,True
2025-02,2025-02-18,BofA Checking,Insurance (Auto),Insurance (Auto/Home/Umbrella/Misc),-184.67,,184.67,False,True
2025-02,2025-02-18,BofA Checking,Insurance (Home),Insurance (Auto/Home/Umbrella/Misc),-91.75,,91.75,False,True
2025-02,2025-02-18,BofA Checking,Insurance (Umbrella),Insurance (Auto/Home/Umbrella/Misc),-9.67,,9.67,False,True
2025-02,2025-02-18,BofA Checking,Transfer between accounts,Transfers (Internal),-200.00,,200.00,False,False
2025-02,2025-02-18,Lending Club Savings,Transfer between accounts,Transfers (Internal),200.00,200.00,,False,False
2025-02,2025-02-18,PenFed Gold Signature Visa,Transfer between accounts,Transfers (Internal),64.99,64.99,0.00,False,False
2025-02,2025-02-18,NFCU AMEX,Transfer between accounts,Transfers (Internal),-64.99,,64.99,False,False
2025-02,2025-02-20,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-61.40,,61.40,False,True
2025-02,2025-02-20,NFCU AMEX,Grocery (Food),Grocery (Food/Cleaning/Pet/Health&Beauty),-61.57,,61.57,False,True
2025-02,2025-02-20,BofA Checking,Taxes (Federal - Refund),Tax Refund,3498.00,3498.00,,False,False
2025-02,2025-02-20,BofA Checking,Transfer between accounts,Transfers (Internal),-1749.00,,1749.00,False,False
2025-02,2025-02-20,NFCU AMEX,Credit Card Payments,Transfers (Internal),1749.00,1749.00,,False,False
2025-02,2025-02-20,NFCU AMEX,Clothing (Adult),Clothing (Adult/Child),-59.50,,59.50,False,True
2025-02,2025-02-21,NFCU Checking,Daycare,Daycare,-50.00,,50.00,False,True
2025-02,2025-02-21,BofA Checking,Transportation (Fuel),Transportation Expenses,-48.13,,48.13,False,True
2025-02,2025-02-21,BofA Checking,Transfer between accounts,Transfers (Internal),-1700.00,0.00,1700.00,False,False
2025-02,2025-02-23,NFCU AMEX,Healthcare (Medication),Medical/Healthcare,-18.40,,18.40,False,True
2025-02,2025-02-24,NFCU AMEX,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-8.46,,8.46,False,True
2025-02,2025-02-25,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),16.80,16.80,,False,False
2025-02,2025-02-25,NFCU Checking,Transfer between accounts,Transfers (Internal),-16.80,,16.80,False,False
2025-02,2025-02-25,BofA Checking,Taxes (State - Refund),Tax Refund,132.00,132.00,,False,False
2025-02,2025-02-25,BofA Checking,Utilities (Water),Utilities,-131.36,,131.36,False,True
2025-02,2025-02-25,NFCU AMEX,Utilities (Electricity),Utilities,-98.51,,98.51,False,True
2025-02,2025-02-25,BofA Checking,Transfer between accounts,Transfers (Internal),-98.51,,98.51,False,False
2025-02,2025-02-25,NFCU AMEX,Credit Card Payments,Transfers (Internal),98.51,98.51,,False,False
2025-02,2025-02-25,Lending Club Savings,Transfer between accounts,Transfers (Internal),150.00,150.00,,False,False
2025-02,2025-02-25,BofA Checking,Transfer between accounts,Transfers (Internal),-150.00,,150.00,False,False
2025-02,2025-02-25,NFCU AMEX,Pets (Vet),Pets,-550.00,,550.00,False,True
2025-02,2025-02-25,FSA Health,Transfer between accounts,Transfers (Internal),-97.98,,97.98,False,False
2025-02,2025-02-25,FSA Dependent,Transfer between accounts,Transfers (Internal),-155.01,,155.01,False,False
2025-02,2025-02-25,NFCU Checking,Transfer between accounts,Transfers (Internal),345.32,345.32,,False,False
2025-02,2025-02-26,NFCU Cash Rewards Visa,Healthcare (Medication),Medical/Healthcare,-25.42,,25.42,False,True
2025-02,2025-02-27,NFCU Cash Rewards Visa,Healthcare (Bloodwork/Tests),Medical/Healthcare,-6.36,,6.36,False,True
2025-02,2025-02-27,NFCU Cash Rewards Visa,Transportation Fees (Registration/Parking/Tolls/License),Transportation Expenses,-50.00,,50.00,False,True
2025-02,2025-02-28,NFCU AMEX,Utilities (Streaming Services),Utilities,-21.39,,21.39,False,True
2025-02,2025-02-28,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-60.83,,60.83,False,True
2025-02,2025-02-28,NFCU AMEX,Transportation (Fuel),Transportation Expenses,-23.50,,23.50,False,True
2025-02,2025-02-28,BofA Checking,Salary - UPMC,"Income (Salary, Interest Earned/Tax Refunds)",250.00,250.00,,True,False
2025-02,2025-02-28,BofA Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",233.71,233.71,,True,False
2025-02,2025-02-28,BofA Checking,Utilities (Internet),Utilities,-74.61,,74.61,False,True
2025-02,2025-02-28,NFCU Cash Rewards Visa,Transportation Fees (Registration/Parking/Tolls/License),Transportation Expenses,-35.00,,35.00,False,True
2025-02,2025-02-28,NFCU Savings,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",200.01,200.01,,True,False
2025-02,2025-02-28,NFCU Checking,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",2103.43,2103.43,,True,False
2025-02,2025-02-28,NFCU Checking,Loan Payments (Mortgage Payments),Housing (Repairs/Mortgage/Taxes),-550.00,,550.00,False,True
2025-02,2025-02-28,FSA Dependent,Salary - Tobii Dynavox,"Income (Salary, Interest Earned/Tax Refunds)",208.33,208.33,,True,False
2025-02,2025-02-28,NFCU Checking,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",0.02,0.02,,True,False
2025-02,2025-02-28,NFCU Savings,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",1.55,1.55,,True,False
2025-02,2025-02-28,Lending Club Savings,Income (Interest Earned),"Income (Salary, Interest Earned/Tax Refunds)",19.50,19.50,,True,False
2025-03,2025-03-03,BofA Checking,Transfer between accounts,Transfers (Internal),-21.39,,21.39,False,False
2025-03,2025-03-03,NFCU AMEX,Credit Card Payments,Transfers (Internal),21.39,21.39,,False,False
2025-03,2025-03-03,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-03,2025-03-03,NFCU Cash Rewards Visa,Personal (Subscriptions),Personal/Lifestyle (Discretionary),-21.20,,21.20,False,True
2025-03,2025-03-03,NFCU AMEX,Transportation (Satellite Radio),Transportation Expenses,-18.16,,18.16,False,True
2025-03,2025-03-03,BofA Checking,Transfer between accounts,Transfers (Internal),-18.16,,18.16,False,False
2025-03,2025-03-03,NFCU AMEX,Credit Card Payments,Transfers (Internal),18.16,18.16,,False,False
2025-03,2025-03-03,NFCU Checking,Transfer between accounts,Transfers (Internal),-2500.00,,2500.00,False,False
2025-03,2025-03-03,NFCU AMEX,Credit Card Payments,Transfers (Internal),2500.00,2500.00,,False,False
2025-03,2025-03-03,NFCU Cash Rewards Visa,Healthcare (Medication),Medical/Healthcare,-39.45,,39.45,False,True
2025-03,2025-03-03,NFCU Savings,Credit Card Cash Back,"Income (Salary, Interest Earned/Tax Refunds)",4.15,4.15,,True,False
2025-03,2025-03-04,NFCU Checking,Personal (Subscriptions),Personal/Lifestyle (Discretionary),-5.34,,5.34,False,True
2025-03,2025-03-04,NFCU Checking,Transfer between accounts,Transfers (Internal),-7.63,,7.63,False,False
2025-03,2025-03-07,NFCU AMEX,Personal (Nicotine),Personal/Lifestyle (Discretionary),-61.40,,61.40,False,True
